product,url product lookup
Machine tool,http://dbpedia.org/resource/J–Machine
Machine tool,http://dbpedia.org/resource/Machine_(Higdon)
Machine tool,http://dbpedia.org/resource/Machine
Machine tool,http://dbpedia.org/resource/Machine_to_machine
Machine tool,http://dbpedia.org/resource/Go-Machine
Machine tool,http://dbpedia.org/resource/Stream_X-Machine
Machine tool,http://dbpedia.org/resource/Communicating_X-Machine
Machine tool,http://dbpedia.org/resource/Diatype_(machine)
Dairy products,http://dbpedia.org/resource/Selecta_(dairy_products)
Dairy products,http://dbpedia.org/resource/Dairy_product
Dairy products,http://dbpedia.org/resource/Daigo_(dairy_product)
Dairy products,http://dbpedia.org/resource/Quark_(dairy_product)
Dairy products,http://dbpedia.org/resource/Smetana_(dairy_product)
Dairy products,http://dbpedia.org/resource/So_(dairy_product)
Dairy products,http://dbpedia.org/resource/Crema_(dairy_product)
Dairy products,http://dbpedia.org/resource/Ymer_(dairy_product)
Dairy products,http://dbpedia.org/resource/Dairy
Dairy products,"http://dbpedia.org/resource/Dairy,_Oregon"
Dairy products,http://dbpedia.org/resource/Q_(dairy)
Dairy products,http://dbpedia.org/resource/Clover_(dairy)
Dairy products,http://dbpedia.org/resource/Pauls_(dairy)
Dairy products,http://dbpedia.org/resource/Supercow_(dairy)
Dairy products,http://dbpedia.org/resource/Dairy_(store)
Dairy products,http://dbpedia.org/resource/Dairy_farming
Dairy products,http://dbpedia.org/resource/Dairy_cattle
Dairy products,http://dbpedia.org/resource/Modern_Dairy
Bottled water,http://dbpedia.org/resource/Bottled_water
Bottled water,http://dbpedia.org/resource/Malvern_Water_(bottled_water)
Bottled water,http://dbpedia.org/resource/Bottled_water
Bottled water,http://dbpedia.org/resource/Bottled_gas
Bottled water,http://dbpedia.org/resource/Bottled_Ocean
Bottled water,http://dbpedia.org/resource/Bottled_Passion
Bottled water,http://dbpedia.org/resource/Bottled_in_bond
Bottled water,http://dbpedia.org/resource/Bottled_water_ban
Bottled water,http://dbpedia.org/resource/International_Bottled_Water_Association
